,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Alamatti,01-JAN-2014,72.35,1692.8,0,10520
1,Alamatti,02-JAN-2014,71.92,1692.67,0,4930
2,Alamatti,03-JAN-2014,71.19,1692.44,0,520
3,Alamatti,04-JAN-2014,71.19,1692.44,0,520
4,Alamatti,05-JAN-2014,71.88,1692.34,0,520
5,Alamatti,06-JAN-2014,70.58,1692.01,0,0
6,Alamatti,07-JAN-2014,69.77,1691.98,0,7760
0,Alamatti,08-JAN-2014,68.75,1691.65,0,9635
1,Alamatti,09-JAN-2014,67.47,1691.22,0,9635
2,Alamatti,10-JAN-2014,66.41,1690.86,0,9635
3,Alamatti,11-JAN-2014,64.78,1690.31,0,14635
4,Alamatti,12-JAN-2014,63.28,1689.78,0,14365
5,Alamatti,13-JAN-2014,62.18,1689.39,0,15000
6,Alamatti,14-JAN-2014,61.39,1689.09,0,11885
0,Alamatti,15-JAN-2014,60.6,1688.8,0,9635
1,Alamatti,16-JAN-2014,59.65,1688.44,0,9635
2,Alamatti,17-JAN-2014,58.81,1688.11,0,9635
3,Alamatti,18-JAN-2014,57.89,1687.75,0,9635
4,Alamatti,19-JAN-2014,57.07,1687.42,0,9635
5,Alamatti,20-JAN-2014,56.27,1687.09,0,9000
6,Alamatti,21-JAN-2014,55.47,1686.76,0,9635
0,Alamatti,22-JAN-2014,54.61,1686.4,0,9635
1,Alamatti,23-JAN-2014,53.63,1685.97,0,9635
2,Alamatti,24-JAN-2014,52.72,1685.58,0,9635
3,Alamatti,25-JAN-2014,51.92,1685.22,0,9635
4,Alamatti,26-JAN-2014,51.04,1684.83,0,9635
5,Alamatti,27-JAN-2014,50.25,1684.47,0,9000
6,Alamatti,28-JAN-2014,49.48,1684.0,0,9635
0,Alamatti,29-JAN-2014,48.75,1683.74,0,9635
1,Alamatti,30-JAN-2014,47.94,1683.38,0,9635
2,Alamatti,31-JAN-2014,46.98,1682.92,0,9635
3,Alamatti,01-FEB-2014,46.23,1682.56,0,4010
