,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Ghataprabha,01-JAN-2014,19.21,2124.5,0,5905
1,Ghataprabha,02-JAN-2014,18.7,2123.38,0,5931
2,Ghataprabha,03-JAN-2014,17.68,2121.1,0,5921
3,Ghataprabha,04-JAN-2014,17.68,2121.1,0,5921
4,Ghataprabha,05-JAN-2014,17.18,2119.96,0,5789
5,Ghataprabha,06-JAN-2014,16.68,2118.8,0,5790
6,Ghataprabha,07-JAN-2014,16.18,2117.61,0,5829
0,Ghataprabha,01-JAN-2014,19.21,2124.5,0,5905
1,Ghataprabha,02-JAN-2014,18.7,2123.38,0,5931
2,Ghataprabha,03-JAN-2014,17.68,2121.1,0,5921
3,Ghataprabha,04-JAN-2014,17.68,2121.1,0,5921
4,Ghataprabha,05-JAN-2014,17.18,2119.96,0,5789
5,Ghataprabha,06-JAN-2014,16.68,2118.8,0,5790
6,Ghataprabha,07-JAN-2014,16.18,2117.61,0,5829
0,Ghataprabha,08-JAN-2014,15.69,2116.45,0,5576
1,Ghataprabha,09-JAN-2014,15.21,2115.26,0,5620
2,Ghataprabha,10-JAN-2014,14.72,2114.05,0,5613
3,Ghataprabha,11-JAN-2014,14.24,2112.81,0,5629
4,Ghataprabha,12-JAN-2014,13.75,2111.53,0,5689
5,Ghataprabha,13-JAN-2014,13.25,2110.21,0,5743
6,Ghataprabha,14-JAN-2014,12.77,2108.91,0,5578
0,Ghataprabha,15-JAN-2014,12.29,2107.58,0,5553
1,Ghataprabha,16-JAN-2014,11.81,2106.25,0,5510
2,Ghataprabha,17-JAN-2014,11.33,2104.9,0,5514
3,Ghataprabha,18-JAN-2014,10.84,2103.48,0,5711
4,Ghataprabha,19-JAN-2014,10.34,2102.03,0,5744
5,Ghataprabha,20-JAN-2014,10.22,2101.65,0,1485
6,Ghataprabha,21-JAN-2014,10.16,2101.48,0,664
0,Ghataprabha,22-JAN-2014,10.13,2101.38,0,390
1,Ghataprabha,23-JAN-2014,10.12,2101.35,0,117
2,Ghataprabha,24-JAN-2014,10.1,2101.31,0,156
3,Ghataprabha,25-JAN-2014,10.09,2101.28,0,117
4,Ghataprabha,26-JAN-2014,10.08,2101.25,0,117
5,Ghataprabha,27-JAN-2014,10.07,2101.21,0,156
6,Ghataprabha,28-JAN-2014,10.06,2101.18,0,117
0,Ghataprabha,29-JAN-2014,10.05,2101.15,0,117
1,Ghataprabha,30-JAN-2014,10.03,2101.11,0,156
2,Ghataprabha,31-JAN-2014,10.02,2101.08,0,117
3,Ghataprabha,01-FEB-2014,10.01,2101.05,0,1117
4,Ghataprabha,02-FEB-2014,10.0,2101.01,0,156
5,Ghataprabha,03-FEB-2014,9.98,2100.96,0,3672
6,Ghataprabha,04-FEB-2014,9.97,2100.91,0,193
0,Ghataprabha,05-FEB-2014,9.95,2100.86,0,193
1,Ghataprabha,06-FEB-2014,9.93,2100.81,0,193
2,Ghataprabha,07-FEB-2014,9.92,2100.76,0,193
3,Ghataprabha,08-FEB-2014,9.9,2100.71,0,193
4,Ghataprabha,09-FEB-2014,9.88,2100.66,0,193
5,Ghataprabha,10-FEB-2014,9.87,2100.61,0,193
6,Ghataprabha,11-FEB-2014,9.39,2099.18,0,5471
0,Ghataprabha,12-FEB-2014,8.94,2097.75,0,5281
1,Ghataprabha,13-FEB-2014,8.55,2096.5,0,4456
2,Ghataprabha,14-FEB-2014,8.18,2095.25,0,4321
3,Ghataprabha,15-FEB-2014,17.68,2121.1,0,5921
4,Ghataprabha,16-FEB-2014,7.8,2093.95,0,161
5,Ghataprabha,17-FEB-2014,7.79,2093.9,0,161
6,Ghataprabha,18-FEB-2014,7.78,2093.85,0,158
0,Ghataprabha,19-FEB-2014,7.76,2093.8,0,161
1,Ghataprabha,20-FEB-2014,7.75,2093.75,0,161
2,Ghataprabha,21-FEB-2014,7.74,2093.7,0,161
3,Ghataprabha,22-FEB-2014,7.72,2093.65,0,161
4,Ghataprabha,23-FEB-2014,7.71,2093.6,0,161
5,Ghataprabha,24-FEB-2014,7.69,2093.55,0,161
6,Ghataprabha,25-FEB-2014,7.68,2093.0,0,161
0,Ghataprabha,26-FEB-2014,7.67,2093.45,0,161
1,Ghataprabha,27-FEB-2014,7.65,2093.4,0,161
2,Ghataprabha,28-FEB-2014,7.64,2093.35,0,161
3,Ghataprabha,01-MAR-2014,7.53,2092.98,0,1193
4,Ghataprabha,02-MAR-2014,7.29,2092.1,0,178
5,Ghataprabha,03-MAR-2014,7.05,2091.18,0,2815
6,Ghataprabha,04-MAR-2014,6.81,2090.23,0,2812
0,Ghataprabha,05-MAR-2014,6.57,2089.25,0,2820
1,Ghataprabha,06-MAR-2014,6.32,2088.25,0,2806
2,Ghataprabha,07-MAR-2014,6.17,2087.6,0,1785
3,Ghataprabha,08-MAR-2014,6.07,2087.2,0,1087
4,Ghataprabha,09-MAR-2014,6.06,2087.15,0,136
5,Ghataprabha,10-MAR-2014,6.05,2087.1,0,136
6,Ghataprabha,11-MAR-2014,6.04,2087.05,0,136
0,Ghataprabha,12-MAR-2014,6.03,2087.0,0,136
1,Ghataprabha,13-MAR-2014,6.02,2086.95,0,132
2,Ghataprabha,14-MAR-2014,6.0,2086.9,0,132
3,Ghataprabha,15-MAR-2014,5.99,2086.85,0,132
4,Ghataprabha,16-MAR-2014,5.98,2086.8,0,132
5,Ghataprabha,17-MAR-2014,5.97,2086.75,0,132
6,Ghataprabha,18-MAR-2014,5.96,2086.7,0,132
0,Ghataprabha,19-MAR-2014,5.95,2086.65,0,132
1,Ghataprabha,20-MAR-2014,5.94,2086.6,0,132
2,Ghataprabha,21-MAR-2014,5.92,2086.55,0,132
3,Ghataprabha,22-MAR-2014,5.91,2086.5,0,132
4,Ghataprabha,23-MAR-2014,5.89,2086.4,0,132
5,Ghataprabha,24-MAR-2014,5.89,2086.4,0,132
6,Ghataprabha,25-MAR-2014,5.88,2086.35,0,132
0,Ghataprabha,26-MAR-2014,5.87,2086.3,0,132
1,Ghataprabha,27-MAR-2014,5.86,2086.25,0,132
2,Ghataprabha,28-MAR-2014,5.84,2086.2,0,132
3,Ghataprabha,29-MAR-2014,5.83,2086.15,0,132
4,Ghataprabha,30-MAR-2014,5.82,2086.1,0,132
5,Ghataprabha,31-MAR-2014,5.81,2086.05,0,132
6,Ghataprabha,01-APR-2014,5.8,2086.0,0,132
0,Ghataprabha,02-APR-2014,5.79,2085.95,0,129
1,Ghataprabha,03-APR-2014,5.78,2085.9,0,129
2,Ghataprabha,04-APR-2014,5.76,2085.85,0,129
3,Ghataprabha,05-APR-2014,5.75,2085.8,0,129
4,Ghataprabha,06-APR-2014,5.74,2085.75,0,129
5,Ghataprabha,07-APR-2014,5.65,2085.33,0,1084
6,Ghataprabha,08-APR-2014,5.55,2084.88,0,1153
0,Ghataprabha,12-APR-2014,5.17,2083.07,0,122
1,Ghataprabha,13-APR-2014,5.16,2083.05,0,122
2,Ghataprabha,14-APR-2014,5.15,2083.0,0,122
3,Ghataprabha,15-APR-2014,5.14,2082.95,0,119
4,Ghataprabha,09-APR-2014,5.43,2084.35,0,1331
5,Ghataprabha,10-APR-2014,5.29,2083.7,0,1611
6,Ghataprabha,11-APR-2014,5.18,2083.15,0,1343
0,Ghataprabha,16-APR-2014,5.13,2082.9,0,119
1,Ghataprabha,17-APR-2014,5.12,2082.85,0,119
2,Ghataprabha,18-APR-2014,5.11,2082.8,0,119
3,Ghataprabha,19-APR-2014,5.1,2082.75,0,119
4,Ghataprabha,20-APR-2014,4.84,2081.5,0,2931
5,Ghataprabha,21-APR-2014,4.59,2080.2,0,2943
6,Ghataprabha,22-APR-2014,4.36,2079.0,0,2638
0,Ghataprabha,23-APR-2014,4.14,2077.78,0,2604
1,Ghataprabha,24-APR-2014,3.9,2076.48,0,2697
2,Ghataprabha,25-APR-2014,3.67,2075.13,0,2721
3,Ghataprabha,26-APR-2014,3.37,2073.41,0,3394
4,Ghataprabha,27-APR-2014,3.2,2072.28,0,2058
5,Ghataprabha,28-APR-2014,3.1,2071.28,0,1145
6,Ghataprabha,29-APR-2014,3.0,2071.01,0,1144
0,Ghataprabha,30-APR-2014,2.9,2070.35,0,1146
1,Ghataprabha,01-MAY-2014,2.85,2070.0,0,607
2,Ghataprabha,02-MAY-2014,2.82,2069.8,0,341
3,Ghataprabha,03-MAY-2014,2.81,2069.73,0,119
4,Ghataprabha,04-MAY-2014,2.8,2069.66,0,119
5,Ghataprabha,05-MAY-2014,2.79,2069.6,0,102
6,Ghataprabha,06-MAY-2014,2.78,2069.53,0,119
0,Ghataprabha,07-MAY-2014,2.77,2069.46,0,119
1,Ghataprabha,08-MAY-2014,2.76,2069.4,0,119
2,Ghataprabha,09-MAY-2014,2.75,2069.33,0,119
3,Ghataprabha,10-MAY-2014,2.74,2069.26,0,119
4,Ghataprabha,11-MAY-2014,2.73,2069.2,0,102
5,Ghataprabha,12-MAY-2014,2.72,2069.13,0,119
6,Ghataprabha,13-MAY-2014,2.71,2069.06,0,119
0,Ghataprabha,14-MAY-2014,2.7,2069.0,0,102
1,Ghataprabha,15-MAY-2014,2.69,2068.93,0,116
2,Ghataprabha,16-MAY-2014,2.68,2068.86,0,116
3,Ghataprabha,17-MAY-2014,2.67,2068.0,0,100
4,Ghataprabha,18-MAY-2014,2.66,2068.73,0,116
5,Ghataprabha,19-MAY-2014,2.65,2068.66,0,116
6,Ghataprabha,20-MAY-2014,2.64,2068.6,0,100
0,Ghataprabha,21-MAY-2014,2.63,2068.53,0,116
1,Ghataprabha,22-MAY-2014,2.62,2068.46,0,116
2,Ghataprabha,23-MAY-2014,2.61,2068.4,0,100
3,Ghataprabha,24-MAY-2014,2.6,2068.33,0,116
4,Ghataprabha,25-MAY-2014,2.59,2068.26,0,116
5,Ghataprabha,26-MAY-2014,2.58,2068.2,0,100
6,Ghataprabha,27-MAY-2014,2.57,2068.13,0,116
0,Ghataprabha,28-MAY-2014,2.56,2068.06,0,116
1,Ghataprabha,29-MAY-2014,2.56,2068.0,0,100
2,Ghataprabha,30-MAY-2014,2.55,2067.93,0,114
3,Ghataprabha,31-MAY-2014,2.54,2067.86,0,114
0,Ghataprabha,01-JUN-2014,2.53,2067.8,0,98
1,Ghataprabha,02-JUN-2014,2.52,2067.73,0,114
2,Ghataprabha,03-JUN-2014,2.51,2067.66,0,114
3,Ghataprabha,04-JUN-2014,2.5,2067.58,0,130
4,Ghataprabha,05-JUN-2014,2.49,2067.51,0,114
5,Ghataprabha,06-JUN-2014,2.47,2067.43,0,130
6,Ghataprabha,07-JUN-2014,2.47,2067.36,0,114
7,Ghataprabha,08-JUN-2014,2.46,2067.3,0,98
8,Ghataprabha,09-JUN-2014,2.45,2067.23,0,114
9,Ghataprabha,10-JUN-2014,2.45,2067.28,164,83
0,Ghataprabha,11-JUN-2014,2.47,2067.36,215,85
1,Ghataprabha,12-JUN-2014,2.48,2067.45,231,85
2,Ghataprabha,13-JUN-2014,2.49,2067.55,248,86
3,Ghataprabha,14-JUN-2014,2.51,2067.65,248,86
4,Ghataprabha,15-JUN-2014,2.52,2067.75,249,87
5,Ghataprabha,16-JUN-2014,2.52,2067.75,0,0
6,Ghataprabha,17-JUN-2014,2.55,2067.95,244,82
0,Ghataprabha,18-JUN-2014,2.56,2068.05,248,84
1,Ghataprabha,19-JUN-2014,2.58,2068.15,249,83
2,Ghataprabha,20-JUN-2014,2.59,2068.25,251,85
3,Ghataprabha,21-JUN-2014,2.55,2067.98,363,812
4,Ghataprabha,22-JUN-2014,2.46,2067.3,855,1960
5,Ghataprabha,23-JUN-2014,2.45,2067.28,828,860
6,Ghataprabha,24-JUN-2014,2.5,2067.61,628,92
0,Ghataprabha,25-JUN-2014,2.54,2067.86,494,88
1,Ghataprabha,26-JUN-2014,2.56,2068.01,329,85
2,Ghataprabha,27-JUN-2014,2.58,2068.16,336,86
3,Ghataprabha,28-JUN-2014,2.6,2068.28,287,87
