,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Hemavathi,01-JAN-2014,11.64,2884.84,125,3225
1,Hemavathi,02-JAN-2014,11.32,2884.07,109,3675
2,Hemavathi,03-JAN-2014,10.71,2882.56,147,3625
3,Hemavathi,04-JAN-2014,10.71,2882.56,147,3625
4,Hemavathi,05-JAN-2014,10.4,2881.8,74,3600
5,Hemavathi,06-JAN-2014,10.1,2881.06,71,3500
6,Hemavathi,07-JAN-2014,9.9,2880.56,45,2350
0,Hemavathi,01-JAN-2014,11.64,2884.84,125,3225
1,Hemavathi,02-JAN-2014,11.32,2884.07,109,3675
2,Hemavathi,03-JAN-2014,10.71,2882.56,147,3625
3,Hemavathi,04-JAN-2014,10.71,2882.56,147,3625
4,Hemavathi,05-JAN-2014,10.4,2881.8,74,3600
5,Hemavathi,06-JAN-2014,10.1,2881.06,71,3500
6,Hemavathi,07-JAN-2014,9.9,2880.56,45,2350
0,Hemavathi,08-JAN-2014,9.7,2880.07,64,2350
1,Hemavathi,09-JAN-2014,9.5,2879.59,90,2300
2,Hemavathi,10-JAN-2014,9.3,2879.11,91,2300
3,Hemavathi,11-JAN-2014,9.11,2878.63,85,2300
4,Hemavathi,12-JAN-2014,8.91,2878.15,84,2300
5,Hemavathi,13-JAN-2014,8.72,2877.63,85,2300
6,Hemavathi,14-JAN-2014,8.52,2877.09,78,2300
0,Hemavathi,15-JAN-2014,8.33,2876.57,62,100
1,Hemavathi,16-JAN-2014,8.14,2876.05,61,100
2,Hemavathi,17-JAN-2014,7.95,2875.52,93,100
3,Hemavathi,18-JAN-2014,7.76,2874.99,99,100
4,Hemavathi,19-JAN-2014,7.56,2874.35,213,100
5,Hemavathi,20-JAN-2014,7.37,2873.71,212,100
6,Hemavathi,21-JAN-2014,7.32,2873.55,210,150
0,Hemavathi,22-JAN-2014,7.31,2873.53,146,175
1,Hemavathi,23-JAN-2014,7.3,2873.51,145,175
2,Hemavathi,24-JAN-2014,7.3,2873.49,146,175
3,Hemavathi,25-JAN-2014,7.29,2873.47,145,175
4,Hemavathi,26-JAN-2014,7.29,2873.45,146,175
5,Hemavathi,27-JAN-2014,7.28,2873.43,147,175
6,Hemavathi,28-JAN-2014,7.27,2873.41,146,175
0,Hemavathi,29-JAN-2014,7.27,2873.39,146,175
1,Hemavathi,30-JAN-2014,7.26,2873.37,146,175
2,Hemavathi,31-JAN-2014,7.26,2873.35,146,175
3,Hemavathi,01-FEB-2014,7.25,2873.33,146,175
4,Hemavathi,02-FEB-2014,7.24,2873.31,146,175
5,Hemavathi,03-FEB-2014,7.23,2873.28,136,200
6,Hemavathi,04-FEB-2014,7.22,2873.25,135,200
0,Hemavathi,05-FEB-2014,7.22,2873.22,134,200
1,Hemavathi,06-FEB-2014,7.21,2873.19,134,200
2,Hemavathi,07-FEB-2014,7.19,2873.15,149,200
3,Hemavathi,08-FEB-2014,7.18,2873.11,149,200
4,Hemavathi,09-FEB-2014,7.17,2873.07,150,200
5,Hemavathi,10-FEB-2014,7.16,2873.03,150,200
6,Hemavathi,11-FEB-2014,7.15,2872.99,153,200
0,Hemavathi,12-FEB-2014,7.13,2872.95,159,200
1,Hemavathi,13-FEB-2014,7.12,2872.91,159,200
2,Hemavathi,14-FEB-2014,7.11,2872.88,143,200
3,Hemavathi,15-FEB-2014,7.1,2872.85,142,200
4,Hemavathi,16-FEB-2014,7.1,2872.83,126,150
5,Hemavathi,17-FEB-2014,7.1,2872.85,142,200
6,Hemavathi,18-FEB-2014,7.09,2872.79,125,150
0,Hemavathi,19-FEB-2014,7.08,2872.77,125,150
1,Hemavathi,20-FEB-2014,7.08,2872.75,125,150
2,Hemavathi,21-FEB-2014,7.07,2872.73,125,150
3,Hemavathi,22-FEB-2014,7.05,2872.67,141,300
4,Hemavathi,23-FEB-2014,7.03,2872.58,141,400
5,Hemavathi,24-FEB-2014,7.0,2872.49,141,400
6,Hemavathi,25-FEB-2014,6.97,2872.4,140,400
0,Hemavathi,26-FEB-2014,6.95,2872.31,144,400
1,Hemavathi,27-FEB-2014,6.92,2872.22,143,400
2,Hemavathi,28-FEB-2014,6.9,2872.13,143,400
3,Hemavathi,01-MAR-2014,6.87,2872.04,143,400
4,Hemavathi,02-MAR-2014,6.84,2871.95,144,400
5,Hemavathi,03-MAR-2014,6.82,2871.86,143,400
6,Hemavathi,04-MAR-2014,6.8,2871.8,144,300
0,Hemavathi,05-MAR-2014,6.78,2871.74,143,300
1,Hemavathi,06-MAR-2014,6.77,2871.68,143,300
2,Hemavathi,07-MAR-2014,6.75,2871.62,144,300
3,Hemavathi,08-MAR-2014,6.74,2871.6,127,150
4,Hemavathi,09-MAR-2014,6.74,2871.59,111,100
5,Hemavathi,10-MAR-2014,6.74,2871.58,112,100
6,Hemavathi,11-MAR-2014,6.74,2871.57,111,100
0,Hemavathi,12-MAR-2014,6.73,2871.56,112,100
1,Hemavathi,13-MAR-2014,6.73,2871.55,112,100
2,Hemavathi,14-MAR-2014,6.73,2871.54,112,100
3,Hemavathi,15-MAR-2014,6.72,2871.53,112,100
4,Hemavathi,16-MAR-2014,6.71,2871.5,95,150
5,Hemavathi,17-MAR-2014,6.71,2871.47,96,150
6,Hemavathi,18-MAR-2014,6.69,2871.41,96,250
0,Hemavathi,19-MAR-2014,6.63,2871.2,96,750
1,Hemavathi,21-MAR-2014,6.54,2870.81,73,463
2,Hemavathi,22-MAR-2014,6.5,2870.59,68,500
3,Hemavathi,23-MAR-2014,6.46,2870.37,62,500
4,Hemavathi,24-MAR-2014,6.42,2870.15,63,500
5,Hemavathi,25-MAR-2014,6.38,2869.92,51,500
0,Hemavathi,26-MAR-2014,6.33,2869.68,47,500
1,Hemavathi,27-MAR-2014,6.31,2869.56,48,250
2,Hemavathi,28-MAR-2014,6.3,2869.49,52,150
3,Hemavathi,29-MAR-2014,6.27,2869.33,53,340
4,Hemavathi,30-MAR-2014,6.22,2869.09,46,500
5,Hemavathi,31-MAR-2014,6.17,2868.89,40,620
6,Hemavathi,01-APR-2014,6.11,2868.7,39,750
0,Hemavathi,02-APR-2014,6.04,2868.51,40,750
1,Hemavathi,03-APR-2014,5.97,2868.32,40,750
2,Hemavathi,04-APR-2014,5.91,2868.13,40,750
3,Hemavathi,05-APR-2014,5.86,2867.99,48,560
4,Hemavathi,06-APR-2014,5.81,2867.84,48,600
5,Hemavathi,07-APR-2014,5.76,2867.69,48,600
6,Hemavathi,08-APR-2014,5.72,2867.58,57,450
0,Hemavathi,09-APR-2014,5.69,2867.5,52,325
1,Hemavathi,10-APR-2014,6.28,2869.4,47,400
2,Hemavathi,11-APR-2014,5.62,2867.3,46,400
3,Hemavathi,12-APR-2014,5.59,2867.21,41,355
4,Hemavathi,13-APR-2014,5.56,2867.12,35,350
5,Hemavathi,14-APR-2014,5.53,2867.03,36,350
6,Hemavathi,15-APR-2014,5.5,2866.92,51,350
0,Hemavathi,16-APR-2014,5.47,2866.81,52,316
1,Hemavathi,17-APR-2014,5.47,2866.79,66,80
2,Hemavathi,18-APR-2014,5.46,2866.77,61,75
3,Hemavathi,19-APR-2014,5.46,2866.75,60,75
4,Hemavathi,20-APR-2014,5.45,2866.73,60,75
5,Hemavathi,21-APR-2014,5.45,2866.71,60,75
6,Hemavathi,22-APR-2014,5.44,2866.69,62,100
0,Hemavathi,23-APR-2014,5.44,2866.67,61,75
1,Hemavathi,24-APR-2014,5.43,2866.65,60,75
2,Hemavathi,25-APR-2014,5.43,2866.63,60,75
3,Hemavathi,26-APR-2014,5.44,2866.69,62,100
4,Hemavathi,27-APR-2014,5.42,2866.59,58,75
5,Hemavathi,28-APR-2014,5.42,2866.57,58,75
6,Hemavathi,29-APR-2014,5.41,2866.55,58,75
0,Hemavathi,30-APR-2014,5.41,2866.54,86,75
1,Hemavathi,01-MAY-2014,5.41,2866.53,86,75
2,Hemavathi,02-MAY-2014,5.4,2866.52,85,75
3,Hemavathi,03-MAY-2014,5.4,2866.52,113,75
4,Hemavathi,04-MAY-2014,5.41,2866.54,142,75
5,Hemavathi,05-MAY-2014,5.41,2866.53,141,75
6,Hemavathi,06-MAY-2014,5.41,2866.55,141,75
0,Hemavathi,07-MAY-2014,5.41,2866.56,140,75
1,Hemavathi,08-MAY-2014,5.42,2866.57,140,75
2,Hemavathi,09-MAY-2014,5.45,2866.7,475,75
3,Hemavathi,10-MAY-2014,5.66,2867.4,2546,75
4,Hemavathi,11-MAY-2014,5.85,2867.95,2311,75
5,Hemavathi,12-MAY-2014,6.04,2868.5,2305,75
6,Hemavathi,13-MAY-2014,6.21,2869.0,2105,75
0,Hemavathi,19-MAY-2014,6.39,2870.01,155.0,75
1,Hemavathi,20-MAY-2014,6.39,2870.03,156.0,75
2,Hemavathi,14-MAY-2014,6.31,2869.55,1263.0,75
3,Hemavathi,15-MAY-2014,0.0,,,0
4,Hemavathi,16-MAY-2014,6.38,2869.95,320.0,75
5,Hemavathi,17-MAY-2014,6.38,2869.97,153.0,75
6,Hemavathi,18-MAY-2014,6.39,2869.99,157.0,75
0,Hemavathi,21-MAY-2014,6.4,2870.05,156,75
1,Hemavathi,22-MAY-2014,6.4,2870.08,178,75
2,Hemavathi,23-MAY-2014,6.41,2870.11,178,75
3,Hemavathi,24-MAY-2014,6.42,2870.15,200,75
4,Hemavathi,25-MAY-2014,6.42,2870.16,134,75
5,Hemavathi,26-MAY-2014,6.42,2870.16,113,75
6,Hemavathi,27-MAY-2014,6.42,2870.15,91,75
0,Hemavathi,28-MAY-2014,6.41,2870.14,90,75
1,Hemavathi,29-MAY-2014,6.41,2870.14,112,75
2,Hemavathi,30-MAY-2014,6.4,2870.08,157,252
3,Hemavathi,31-MAY-2014,6.37,2869.9,150,500
0,Hemavathi,01-JUN-2014,6.36,2869.84,410,500
1,Hemavathi,02-JUN-2014,6.34,2869.75,349,500
2,Hemavathi,03-JUN-2014,6.33,2869.65,328,500
3,Hemavathi,04-JUN-2014,6.34,2869.75,746,500
4,Hemavathi,05-JUN-2014,6.35,2869.8,640,500
5,Hemavathi,06-JUN-2014,6.36,2869.84,212,93
6,Hemavathi,07-JUN-2014,6.37,2869.88,195,75
7,Hemavathi,08-JUN-2014,6.38,2869.92,194,75
8,Hemavathi,09-JUN-2014,6.38,2869.96,194,75
9,Hemavathi,10-JUN-2014,6.39,2870.0,194,75
0,Hemavathi,11-JUN-2014,6.39,2870.03,176,75
1,Hemavathi,12-JUN-2014,6.4,2870.06,176,75
2,Hemavathi,13-JUN-2014,6.41,2870.1,191,75
3,Hemavathi,14-JUN-2014,6.42,2870.15,220,75
4,Hemavathi,15-JUN-2014,6.43,2870.21,243,75
5,Hemavathi,16-JUN-2014,6.44,2870.28,265,75
6,Hemavathi,17-JUN-2014,6.45,2870.34,243,75
0,Hemavathi,18-JUN-2014,6.47,2870.42,287,75
1,Hemavathi,19-JUN-2014,6.49,2870.55,397,75
2,Hemavathi,20-JUN-2014,6.86,2872.0,4331,75
3,Hemavathi,21-JUN-2014,7.46,2874.0,7370,430
4,Hemavathi,22-JUN-2014,7.66,2874.65,2953,600
5,Hemavathi,23-JUN-2014,7.76,2875.0,1890,605
6,Hemavathi,24-JUN-2014,8.04,2875.75,3791,600
0,Hemavathi,25-JUN-2014,8.18,2876.15,2647,0
1,Hemavathi,26-JUN-2014,8.27,2876.4,2530,0
2,Hemavathi,27-JUN-2014,8.2,2876.2,702,0
3,Hemavathi,28-JUN-2014,8.13,2876.0,703,0
4,Hemavathi,29-JUN-2014,8.07,2875.84,520,0
5,Hemavathi,30-JUN-2014,8.01,2875.69,229,0
6,Hemavathi,01-JUL-2014,7.94,2875.49,186,0
0,Hemavathi,02-JUL-2014,7.92,2875.43,2903,1258
1,Hemavathi,03-JUL-2014,7.89,2875.36,2907,1284
2,Hemavathi,04-JUL-2014,7.87,2875.29,2912,1310
3,Hemavathi,05-JUL-2014,7.92,2875.42,2984,1332
4,Hemavathi,06-JUL-2014,8.04,2875.75,2984,1332
5,Hemavathi,07-JUL-2014,8.1,2875.92,3216,1375
6,Hemavathi,08-JUL-2014,8.13,2876.0,3270,1396
0,Hemavathi,09-JUL-2014,8.16,2876.09,670,250
1,Hemavathi,10-JUL-2014,8.19,2876.17,628,250
2,Hemavathi,11-JUL-2014,8.25,2876.34,105,250
3,Hemavathi,12-JUL-2014,8.38,2876.69,1762,250
4,Hemavathi,13-JUL-2014,8.67,2877.5,3695,250
5,Hemavathi,14-JUL-2014,9.38,2879.3,8525,250
