,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,K.R.S,01-JAN-2014,38.58,116.33,1885,1994
1,K.R.S,02-JAN-2014,38.55,116.3,1550,1782
2,K.R.S,03-JAN-2014,38.49,116.25,1547,1644
3,K.R.S,04-JAN-2014,38.49,116.25,1547,1644
4,K.R.S,05-JAN-2014,38.48,116.24,1154,1115
5,K.R.S,06-JAN-2014,38.47,116.23,625,586
6,K.R.S,07-JAN-2014,38.48,116.24,896,586
0,K.R.S,01-JAN-2014,38.58,116.33,1885,1994
1,K.R.S,02-JAN-2014,38.55,116.3,1550,1782
2,K.R.S,03-JAN-2014,38.49,116.25,1547,1644
3,K.R.S,04-JAN-2014,38.49,116.25,1547,1644
4,K.R.S,05-JAN-2014,38.48,116.24,1154,1115
5,K.R.S,06-JAN-2014,38.47,116.23,625,586
6,K.R.S,07-JAN-2014,38.48,116.24,896,586
0,K.R.S,08-JAN-2014,38.5,116.26,1032,586
1,K.R.S,09-JAN-2014,38.55,116.3,1303,586
2,K.R.S,10-JAN-2014,38.61,116.35,1438,586
3,K.R.S,11-JAN-2014,38.56,116.31,1300,1416
4,K.R.S,12-JAN-2014,38.35,116.13,984,3247
5,K.R.S,13-JAN-2014,38.12,115.93,1228,3247
6,K.R.S,14-JAN-2014,37.89,115.73,1249,3727
0,K.R.S,15-JAN-2014,37.6,115.48,1077,1011
1,K.R.S,16-JAN-2014,37.26,115.18,400,536
2,K.R.S,17-JAN-2014,36.98,114.93,568,536
3,K.R.S,18-JAN-2014,36.71,114.69,737,536
4,K.R.S,19-JAN-2014,36.44,114.45,657,970
5,K.R.S,20-JAN-2014,36.21,114.24,1029,954
6,K.R.S,21-JAN-2014,35.94,114.0,903,771
0,K.R.S,22-JAN-2014,35.62,113.71,531,839
1,K.R.S,23-JAN-2014,35.33,113.44,875,930
2,K.R.S,24-JAN-2014,35.03,113.17,863,918
3,K.R.S,25-JAN-2014,34.73,112.89,763,913
4,K.R.S,26-JAN-2014,34.46,112.64,865,648
5,K.R.S,27-JAN-2014,34.19,112.39,562,394
6,K.R.S,28-JAN-2014,34.12,112.32,496,382
0,K.R.S,29-JAN-2014,34.12,112.32,580,382
1,K.R.S,30-JAN-2014,34.1,112.3,333,382
2,K.R.S,31-JAN-2014,34.07,112.27,210,382
3,K.R.S,01-FEB-2014,34.05,112.25,333,382
4,K.R.S,02-FEB-2014,34.01,112.22,209,382
5,K.R.S,03-FEB-2014,33.99,112.2,333,382
6,K.R.S,04-FEB-2014,33.97,112.18,333,382
0,K.R.S,05-FEB-2014,33.95,112.16,333,382
1,K.R.S,06-FEB-2014,33.92,112.13,209,382
2,K.R.S,07-FEB-2014,33.78,112.0,710,382
3,K.R.S,08-FEB-2014,33.51,111.74,569,874
4,K.R.S,09-FEB-2014,33.21,111.45,420,1012
5,K.R.S,10-FEB-2014,32.89,111.15,438,1151
6,K.R.S,11-FEB-2014,32.57,110.84,354,1144
0,K.R.S,12-FEB-2014,32.22,110.49,403,1128
1,K.R.S,13-FEB-2014,31.85,110.13,277,1120
2,K.R.S,14-FEB-2014,31.48,109.76,216,1112
3,K.R.S,15-FEB-2014,31.11,109.39,236,1097
4,K.R.S,16-FEB-2014,30.75,109.02,228,1089
5,K.R.S,17-FEB-2014,31.11,109.39,236,1097
6,K.R.S,18-FEB-2014,30.01,108.26,199,1073
0,K.R.S,19-FEB-2014,29.62,107.86,252,1263
1,K.R.S,20-FEB-2014,29.24,107.45,200,1252
2,K.R.S,21-FEB-2014,28.85,107.04,195,1247
3,K.R.S,22-FEB-2014,28.47,106.63,285,1241
4,K.R.S,23-FEB-2014,28.08,106.21,178,1231
5,K.R.S,24-FEB-2014,27.7,105.79,220,1220
6,K.R.S,25-FEB-2014,27.55,105.62,219,615
0,K.R.S,26-FEB-2014,27.49,105.56,214,665
1,K.R.S,27-FEB-2014,27.44,105.5,264,715
2,K.R.S,28-FEB-2014,27.37,105.43,157,713
3,K.R.S,01-MAR-2014,27.34,105.39,167,410
4,K.R.S,02-MAR-2014,27.3,105.35,167,410
5,K.R.S,03-MAR-2014,27.27,105.31,177,409
6,K.R.S,04-MAR-2014,27.23,105.27,177,409
0,K.R.S,05-MAR-2014,27.19,105.23,177,409
1,K.R.S,06-MAR-2014,27.16,105.19,177,409
2,K.R.S,07-MAR-2014,27.12,105.15,177,409
3,K.R.S,08-MAR-2014,27.1,105.12,281,409
4,K.R.S,09-MAR-2014,27.06,105.08,177,409
5,K.R.S,10-MAR-2014,27.02,105.04,177,409
6,K.R.S,11-MAR-2014,26.99,105.0,177,409
0,K.R.S,12-MAR-2014,26.85,104.84,240,805
1,K.R.S,13-MAR-2014,26.55,104.5,189,1204
2,K.R.S,14-MAR-2014,26.21,104.11,178,1201
3,K.R.S,15-MAR-2014,25.82,103.66,143,1196
4,K.R.S,16-MAR-2014,25.43,103.21,164,1190
5,K.R.S,17-MAR-2014,25.04,102.75,129,1184
6,K.R.S,18-MAR-2014,24.65,102.28,179,1281
0,K.R.S,19-MAR-2014,24.25,101.79,135,1381
1,K.R.S,21-MAR-2014,23.44,100.79,149,1375
2,K.R.S,22-MAR-2014,23.03,100.28,123,1374
3,K.R.S,23-MAR-2014,22.63,99.77,172,1371
4,K.R.S,24-MAR-2014,22.23,99.25,143,1368
5,K.R.S,25-MAR-2014,21.82,98.72,117,1367
0,K.R.S,26-MAR-2014,21.42,98.19,171,4672
1,K.R.S,27-MAR-2014,21.02,97.65,164,4672
2,K.R.S,28-MAR-2014,20.64,97.13,175,4471
3,K.R.S,29-MAR-2014,20.35,96.72,169,3470
