,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Kabini,01-JAN-2014,14.42,2275.26,306,50
1,Kabini,02-JAN-2014,14.44,2275.3,367,50
2,Kabini,03-JAN-2014,14.47,2275.36,306,50
3,Kabini,04-JAN-2014,14.47,2275.36,306,50
4,Kabini,05-JAN-2014,14.49,2275.4,369,50
5,Kabini,06-JAN-2014,14.51,2275.43,306,50
6,Kabini,07-JAN-2014,14.52,2275.46,306,50
0,Kabini,08-JAN-2014,14.54,2275.49,306,50
1,Kabini,09-JAN-2014,14.57,2275.55,306,50
2,Kabini,10-JAN-2014,14.57,2275.55,306,50
3,Kabini,11-JAN-2014,14.59,2275.58,306,50
4,Kabini,12-JAN-2014,14.6,2275.6,306,50
5,Kabini,13-JAN-2014,14.61,2275.62,243,50
6,Kabini,14-JAN-2014,14.62,2275.64,243,50
0,Kabini,15-JAN-2014,14.63,2275.66,243,50
1,Kabini,16-JAN-2014,14.64,2275.68,243,50
2,Kabini,17-JAN-2014,14.66,2275.7,243,50
3,Kabini,18-JAN-2014,14.67,2275.72,243,50
4,Kabini,19-JAN-2014,14.68,2275.75,243,50
5,Kabini,20-JAN-2014,14.69,2275.76,243,50
6,Kabini,21-JAN-2014,14.7,2275.78,243,50
0,Kabini,22-JAN-2014,14.7,2275.79,180,50
1,Kabini,23-JAN-2014,14.71,2275.8,180,50
2,Kabini,24-JAN-2014,14.71,2275.81,180,50
3,Kabini,25-JAN-2014,14.72,2275.82,181,50
4,Kabini,26-JAN-2014,14.73,2275.83,181,50
5,Kabini,27-JAN-2014,14.73,2275.84,181,50
6,Kabini,28-JAN-2014,14.74,2275.85,180,50
0,Kabini,29-JAN-2014,14.74,2275.85,118,50
1,Kabini,30-JAN-2014,14.74,2275.85,118,50
2,Kabini,31-JAN-2014,14.74,2275.85,118,50
3,Kabini,01-FEB-2014,14.74,2275.85,118,50
4,Kabini,02-FEB-2014,14.74,2275.85,118,50
5,Kabini,03-FEB-2014,14.74,2275.85,118,50
6,Kabini,04-FEB-2014,14.74,2275.85,118,50
0,Kabini,07-FEB-2014,14.74,2275.86,125,50
1,Kabini,05-FEB-2014,14.74,2275.86,181,50
2,Kabini,06-FEB-2014,14.74,2275.86,125,50
3,Kabini,08-FEB-2014,14.74,2275.86,125,50
4,Kabini,09-FEB-2014,14.74,2275.86,125,50
5,Kabini,10-FEB-2014,14.75,2275.87,188,50
6,Kabini,11-FEB-2014,14.75,2275.87,125,50
0,Kabini,12-FEB-2014,14.75,2275.87,125,50
1,Kabini,13-FEB-2014,14.75,2275.87,125,50
2,Kabini,14-FEB-2014,14.75,2275.87,125,50
3,Kabini,15-FEB-2014,14.64,2275.67,107,50
4,Kabini,16-FEB-2014,14.74,2275.85,132,50
5,Kabini,17-FEB-2014,14.74,2275.86,107,50
6,Kabini,18-FEB-2014,14.73,2275.83,132,50
0,Kabini,19-FEB-2014,14.72,2275.82,132,50
1,Kabini,20-FEB-2014,14.71,2275.81,132,50
2,Kabini,21-FEB-2014,14.71,2275.8,132,50
3,Kabini,22-FEB-2014,14.7,2275.78,79,50
4,Kabini,23-FEB-2014,14.66,2275.7,102,440
