,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Linganamakki,01-JAN-2014,109.21,1805.1,0,5823.22662
1,Linganamakki,02-JAN-2014,108.53,1804.85,0,3876.94278
2,Linganamakki,03-JAN-2014,107.25,1804.35,1753,8148.90618
3,Linganamakki,04-JAN-2014,107.25,1804.35,1753,8148.90618
4,Linganamakki,05-JAN-2014,106.64,1804.1,401,7807.0
5,Linganamakki,06-JAN-2014,106.12,1803.9,715,6137.6922
6,Linganamakki,07-JAN-2014,105.43,1803.65,728,8152.262640000001
0,Linganamakki,01-JAN-2014,109.21,1805.1,0,5823.22662
1,Linganamakki,02-JAN-2014,108.53,1804.85,0,3876.94278
2,Linganamakki,03-JAN-2014,107.25,1804.35,1753,8148.90618
3,Linganamakki,04-JAN-2014,107.25,1804.35,1753,8148.90618
4,Linganamakki,05-JAN-2014,106.64,1804.1,401,7807.0
5,Linganamakki,06-JAN-2014,106.12,1803.9,715,6137.6922
6,Linganamakki,07-JAN-2014,105.43,1803.65,728,8152.262640000001
0,Linganamakki,08-JAN-2014,104.75,1803.4,82,6488.9631
1,Linganamakki,09-JAN-2014,104.1,1803.15,0,6375.5379
2,Linganamakki,10-JAN-2014,103.45,1802.9,0,6710.0
3,Linganamakki,11-JAN-2014,102.8,1802.65,1737,8169.0
4,Linganamakki,12-JAN-2014,102.15,1802.4,245,7650.0
5,Linganamakki,13-JAN-2014,101.5,1802.15,0,69675.48
6,Linganamakki,14-JAN-2014,101.5,1802.15,0,69675.48
0,Linganamakki,15-JAN-2014,100.59,1801.8,1545,7001.0
1,Linganamakki,16-JAN-2014,100.07,1801.6,1617,7085.95002
2,Linganamakki,17-JAN-2014,99.41,1801.35,768,866.6611199999999
3,Linganamakki,18-JAN-2014,98.63,1801.05,0,8294.04414
4,Linganamakki,19-JAN-2014,97.98,1800.8,0,6506.0
5,Linganamakki,20-JAN-2014,97.2,1800.5,0,7184.097540000001
6,Linganamakki,21-JAN-2014,96.55,1800.25,0,6399.95904
0,Linganamakki,22-JAN-2014,95.9,1800.0,0,6190.0066799999995
1,Linganamakki,23-JAN-2014,95.3,1799.75,789,7711.987679999999
2,Linganamakki,24-JAN-2014,94.71,1799.5,1880,7787.91312
3,Linganamakki,25-JAN-2014,94.0,1799.2,0,7318.93464
4,Linganamakki,26-JAN-2014,93.48,1798.95,0,5648.0
5,Linganamakki,27-JAN-2014,92.92,1798.75,1990,6941.15928
6,Linganamakki,28-JAN-2014,92.33,1798.5,601,7361.98992
0,Linganamakki,30-JAN-2014,90.66,1797.8,520,8080.0
1,Linganamakki,29-JAN-2014,91.62,1798.2,503,8155.96632
2,Linganamakki,31-JAN-2014,90.07,1797.55,0,8099.948159999999
3,Linganamakki,01-FEB-2014,89.24,1797.2,474,7774.0
4,Linganamakki,02-FEB-2014,88.52,1796.9,0,6393.0
5,Linganamakki,03-FEB-2014,87.81,1796.6,0,5925.0
6,Linganamakki,04-FEB-2014,87.21,1796.35,1631,5974.0
0,Linganamakki,05-FEB-2014,86.62,1796.1,981,5864.0
1,Linganamakki,06-FEB-2014,86.12,1795.85,981,8322.747659999999
2,Linganamakki,07-FEB-2014,85.19,1795.5,0,6731.90136
3,Linganamakki,08-FEB-2014,84.36,1795.15,0,7071.945479999999
4,Linganamakki,09-FEB-2014,83.57,1794.8,621,8933.0
5,Linganamakki,10-FEB-2014,82.11,1794.45,0,5562.0
6,Linganamakki,11-FEB-2014,82.06,1794.1,0,7066.0
0,Linganamakki,12-FEB-2014,81.3,1793.75,0,6093.8267399999995
1,Linganamakki,13-FEB-2014,80.54,1793.4,0,6766.0
2,Linganamakki,14-FEB-2014,79.79,1793.05,0,6678.0
3,Linganamakki,15-FEB-2014,79.03,1792.7,0,6608.0
4,Linganamakki,16-FEB-2014,78.28,1792.35,0,6223.0
5,Linganamakki,17-FEB-2014,77.63,1792.05,0,5197.0
6,Linganamakki,18-FEB-2014,76.98,1791.75,997,6708.0
0,Linganamakki,19-FEB-2014,76.22,1791.4,0,7186.0
1,Linganamakki,20-FEB-2014,75.47,1791.05,450,7808.0
2,Linganamakki,21-FEB-2014,74.6,1790.65,0,7744.51062
3,Linganamakki,22-FEB-2014,73.85,1790.3,0,7331.0
4,Linganamakki,23-FEB-2014,72.01,1789.95,0,6801.0
5,Linganamakki,24-FEB-2014,72.32,1789.55,0,5386.65534
6,Linganamakki,25-FEB-2014,71.63,1789.2,425,6201.00198
0,Linganamakki,26-FEB-2014,71.05,1788.9,2432,7482.0
1,Linganamakki,27-FEB-2014,70.46,1788.6,2125,7161.0
2,Linganamakki,28-FEB-2014,69.77,1788.25,0,6393.0
3,Linganamakki,01-MAR-2014,69.09,1787.9,515,7068.0
4,Linganamakki,02-MAR-2014,68.3,1787.5,0,6459.0
5,Linganamakki,03-MAR-2014,67.72,1787.2,0,4162.0104
6,Linganamakki,04-MAR-2014,67.13,1786.9,887,5966.9757
0,Linganamakki,05-MAR-2014,66.44,1786.55,0,5934.91572
1,Linganamakki,06-MAR-2014,65.76,1786.2,0,5556.0987
2,Linganamakki,07-MAR-2014,65.17,1785.9,262,5345.4519
3,Linganamakki,08-MAR-2014,64.58,1785.6,0,4561.0
4,Linganamakki,09-MAR-2014,64.09,178.35,0,3254.0
5,Linganamakki,10-MAR-2014,63.51,1785.05,0,2058.0
6,Linganamakki,11-MAR-2014,62.88,1784.7,0,5123.0
0,Linganamakki,12-MAR-2014,62.44,1784.45,1557.0,5309.0
1,Linganamakki,13-MAR-2014,61.82,1784.1,1784.0,5835.0
2,Linganamakki,14-MAR-2014,61.29,1783.8,1300.0,5739.0
3,Linganamakki,15-MAR-2014,60.49,1783.35,0.0,6838.382159999999
4,Linganamakki,16-MAR-2014,59.87,1783.0,0.0,5646.0
5,Linganamakki,17-MAR-2014,59.25,1782.65,380.0,6120.0
6,Linganamakki,18-MAR-2014,58.63,1782.3,38.64,5223.0
0,Linganamakki,19-MAR-2014,57.84,1781.85,0,7256.898
1,Linganamakki,20-MAR-2014,52.59,1778.75,0,7308.981
2,Linganamakki,21-MAR-2014,56.07,1780.85,0,7288.1478
3,Linganamakki,22-MAR-2014,55.36,1780.45,0,7241.8518
4,Linganamakki,23-MAR-2014,54.57,1780.0,0,7198.0
5,Linganamakki,24-MAR-2014,53.86,1779.55,0,6032.4845399999995
6,Linganamakki,25-MAR-2014,53.14,1779.1,0,6546.485879999999
0,Linganamakki,26-MAR-2014,52.43,1778.65,233,7056.899280000001
1,Linganamakki,27-MAR-2014,51.64,1778.15,0,7068.0103199999985
2,Linganamakki,28-MAR-2014,50.93,1777.7,168,7015.927319999999
3,Linganamakki,29-MAR-2014,50.13,1777.2,0,7011.876420000001
4,Linganamakki,30-MAR-2014,49.34,1776.7,0,6933.0
5,Linganamakki,31-MAR-2014,46.37,1774.8,0,4778.0
6,Linganamakki,01-APR-2014,47.84,1775.75,0,6882.710579999999
0,Linganamakki,02-APR-2014,47.2,1775.35,0,5336.07696
1,Linganamakki,03-APR-2014,46.51,1774.9,0,6546.948839999999
2,Linganamakki,04-APR-2014,45.8,1774.4,0,6040.0
3,Linganamakki,05-APR-2014,45.16,1773.95,511,6519.0
4,Linganamakki,06-APR-2014,44.46,1773.75,0,6530.0
5,Linganamakki,07-APR-2014,43.82,1773.0,0,4505.0
6,Linganamakki,08-APR-2014,43.16,1772.55,0,5294.0
0,Linganamakki,09-APR-2014,,,,
1,Linganamakki,10-APR-2014,42.08,1771.8,0.0,3611.0
2,Linganamakki,11-APR-2014,41.47,1771.35,0.0,5888.0
3,Linganamakki,12-APR-2014,40.71,1770.8,0.0,5964.0
4,Linganamakki,13-APR-2014,40.0,1770.3,0.0,5491.0
5,Linganamakki,14-APR-2014,39.72,1770.1,0.0,1386.0
6,Linganamakki,15-APR-2014,39.26,1769.75,0.0,3627.0
0,Linganamakki,16-APR-2014,38.82,1769.4,0,3742
1,Linganamakki,17-APR-2014,38.38,1769.05,0,3742
2,Linganamakki,18-APR-2014,38.04,1768.75,0,2018
3,Linganamakki,19-APR-2014,37.77,1768.5,78,1996
4,Linganamakki,20-APR-2014,37.27,1768.15,0,2918
5,Linganamakki,21-APR-2014,36.99,1767.95,450,954
6,Linganamakki,22-APR-2014,36.61,1767.65,0,2675
0,Linganamakki,23-APR-2014,35.98,1767.15,0.0,4725.0
1,Linganamakki,24-APR-2014,35.47,1766.75,0.0,4043.0
2,Linganamakki,25-APR-2014,34.84,1766.25,0.0,5777.0
3,Linganamakki,26-APR-2014,34.14,1765.7,0.0,5591.0
4,Linganamakki,27-APR-2014,33.58,1765.25,25.0,4630.0
5,Linganamakki,28-APR-2014,33.2,1764.95,237.0,2982.0
6,Linganamakki,29-APR-2014,,,,
0,Linganamakki,30-APR-2014,32.08,1763.95,0.0,4283.0
1,Linganamakki,01-MAY-2014,31.46,1763.4,45.0,5936.0
2,Linganamakki,02-MAY-2014,31.12,1763.1,0.0,2332.0
3,Linganamakki,03-MAY-2014,,,,
