,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Malaprabha,06-JAN-2014,7.46,2044.8,0,3214
1,Malaprabha,07-JAN-2014,7.33,2044.5,0,1656
2,Malaprabha,01-JAN-2014,8.59,2047.4,0,3214
3,Malaprabha,02-JAN-2014,8.37,2046.9,0,3214
4,Malaprabha,03-JAN-2014,7.92,2045.9,0,3214
5,Malaprabha,04-JAN-2014,7.92,2045.9,0,3214
6,Malaprabha,05-JAN-2014,7.69,2045.35,0,3214
0,Malaprabha,06-JAN-2014,7.46,2044.8,0,3214
1,Malaprabha,07-JAN-2014,7.33,2044.5,0,1656
2,Malaprabha,01-JAN-2014,8.59,2047.4,0,3214
3,Malaprabha,02-JAN-2014,8.37,2046.9,0,3214
4,Malaprabha,03-JAN-2014,7.92,2045.9,0,3214
5,Malaprabha,04-JAN-2014,7.92,2045.9,0,3214
6,Malaprabha,05-JAN-2014,7.69,2045.35,0,3214
0,Malaprabha,08-JAN-2014,7.33,2044.48,0,124
1,Malaprabha,09-JAN-2014,7.32,2044.46,0,124
2,Malaprabha,10-JAN-2014,7.31,2044.44,0,124
3,Malaprabha,11-JAN-2014,7.3,2044.42,0,124
4,Malaprabha,12-JAN-2014,7.29,2044.4,0,124
5,Malaprabha,13-JAN-2014,7.28,2044.38,0,124
6,Malaprabha,14-JAN-2014,7.28,2044.36,0,124
0,Malaprabha,15-JAN-2014,7.27,2044.34,0,124
1,Malaprabha,16-JAN-2014,7.26,2044.31,0,124
2,Malaprabha,17-JAN-2014,7.24,2044.28,0,124
3,Malaprabha,18-JAN-2014,7.23,2044.25,0,124
4,Malaprabha,19-JAN-2014,7.22,2044.22,0,124
5,Malaprabha,20-JAN-2014,7.21,2044.19,0,124
6,Malaprabha,21-JAN-2014,7.19,2041.16,0,124
0,Malaprabha,22-JAN-2014,7.18,2044.13,0,124
1,Malaprabha,23-JAN-2014,7.17,2044.1,0,124
2,Malaprabha,24-JAN-2014,7.16,2044.07,0,124
3,Malaprabha,25-JAN-2014,7.15,2044.04,0,124
4,Malaprabha,26-JAN-2014,7.13,2044.01,0,124
5,Malaprabha,27-JAN-2014,7.12,2043.98,0,124
6,Malaprabha,28-JAN-2014,7.11,2043.95,0,124
0,Malaprabha,29-JAN-2014,7.1,2043.92,0,124
1,Malaprabha,30-JAN-2014,7.09,2043.89,0,124
2,Malaprabha,31-JAN-2014,7.07,2043.86,0,124
3,Malaprabha,01-FEB-2014,7.06,2043.86,0,124
4,Malaprabha,02-FEB-2014,7.05,2043.8,0,124
5,Malaprabha,03-FEB-2014,7.04,2043.77,0,124
6,Malaprabha,04-FEB-2014,7.03,2043.74,0,124
0,Malaprabha,05-FEB-2014,7.01,2043.7,0,124
1,Malaprabha,06-FEB-2014,7.0,2043.66,0,124
2,Malaprabha,07-FEB-2014,6.98,2043.62,0,124
3,Malaprabha,08-FEB-2014,6.96,2043.58,0,124
4,Malaprabha,09-FEB-2014,6.95,2043.54,0,124
5,Malaprabha,10-FEB-2014,6.93,2043.5,0,124
6,Malaprabha,11-FEB-2014,6.92,2043.46,0,124
0,Malaprabha,12-FEB-2014,6.9,2043.42,0,124
1,Malaprabha,13-FEB-2014,6.89,2043.38,0,124
2,Malaprabha,14-FEB-2014,6.87,2043.34,0,124
3,Malaprabha,15-FEB-2014,7.92,2045.9,0,3214
4,Malaprabha,16-FEB-2014,6.84,2043.26,0,124
5,Malaprabha,17-FEB-2014,6.82,2043.22,0,124
6,Malaprabha,18-FEB-2014,6.78,2043.12,0,299
0,Malaprabha,19-FEB-2014,6.72,2042.97,0,424
1,Malaprabha,20-FEB-2014,6.69,2042.87,0,424
2,Malaprabha,21-FEB-2014,6.64,2042.75,0,459
3,Malaprabha,22-FEB-2014,6.6,2042.64,0,474
4,Malaprabha,23-FEB-2014,6.56,2042.53,0,474
5,Malaprabha,24-FEB-2014,6.51,2042.4,0,474
6,Malaprabha,25-FEB-2014,6.49,2042.27,0,474
0,Malaprabha,26-FEB-2014,6.41,2042.14,0,474
1,Malaprabha,27-FEB-2014,6.36,2042.71,0,474
2,Malaprabha,28-FEB-2014,6.32,2041.88,0,474
3,Malaprabha,01-MAR-2014,6.28,2041.79,0,269
4,Malaprabha,02-MAR-2014,6.27,2041.75,0,124
5,Malaprabha,03-MAR-2014,6.25,2041.71,0,124
6,Malaprabha,04-MAR-2014,6.24,2041.67,0,124
0,Malaprabha,05-MAR-2014,6.22,2041.61,0,124
1,Malaprabha,06-MAR-2014,6.2,2041.55,0,124
2,Malaprabha,07-MAR-2014,6.18,2041.49,0,124
3,Malaprabha,08-MAR-2014,6.15,2041.43,0,124
4,Malaprabha,09-MAR-2014,6.13,2041.37,0,124
5,Malaprabha,10-MAR-2014,6.11,2041.31,0,124
6,Malaprabha,11-MAR-2014,6.09,2041.25,0,124
0,Malaprabha,12-MAR-2014,6.07,2041.19,0,124
1,Malaprabha,13-MAR-2014,6.05,2041.13,0,124
2,Malaprabha,14-MAR-2014,6.02,2041.07,0,124
3,Malaprabha,15-MAR-2014,6.0,2041.01,0,124
4,Malaprabha,16-MAR-2014,5.98,2040.95,0,124
5,Malaprabha,17-MAR-2014,5.95,2040.87,0,124
6,Malaprabha,18-MAR-2014,5.93,2040.8,0,124
0,Malaprabha,19-MAR-2014,5.89,2041.7,0,124
1,Malaprabha,20-MAR-2014,5.86,2040.6,0,124
2,Malaprabha,21-MAR-2014,5.78,2040.37,0,757
3,Malaprabha,22-MAR-2014,5.69,2040.12,0,124
4,Malaprabha,23-MAR-2014,5.63,2039.94,0,924
5,Malaprabha,24-MAR-2014,5.57,2039.76,0,924
6,Malaprabha,25-MAR-2014,5.51,2039.57,0,924
0,Malaprabha,26-MAR-2014,5.47,2039.45,0,924
1,Malaprabha,27-MAR-2014,5.43,2039.33,0,924
2,Malaprabha,28-MAR-2014,5.39,2039.21,0,924
3,Malaprabha,29-MAR-2014,5.35,2039.07,0,924
4,Malaprabha,30-MAR-2014,5.3,2038.93,0,924
5,Malaprabha,31-MAR-2014,5.27,2038.84,0,924
6,Malaprabha,01-APR-2014,5.23,2038.7,0,924
0,Malaprabha,02-APR-2014,5.19,2038.59,0,924
1,Malaprabha,03-APR-2014,5.16,2038.47,0,924
2,Malaprabha,04-APR-2014,5.12,2038.37,0,815
3,Malaprabha,05-APR-2014,5.11,2038.31,0,174
4,Malaprabha,06-APR-2014,5.09,2038.27,0,124
5,Malaprabha,07-APR-2014,5.08,2038.23,0,124
6,Malaprabha,08-APR-2014,5.07,2038.19,0,124
0,Malaprabha,09-APR-2014,5.06,2038.16,0,124
1,Malaprabha,10-APR-2014,5.05,2038.13,0,124
2,Malaprabha,11-APR-2014,5.04,2038.1,0,124
3,Malaprabha,12-APR-2014,5.03,2038.07,0,124
4,Malaprabha,13-APR-2014,5.02,2038.04,0,124
5,Malaprabha,14-APR-2014,5.01,2038.01,0,124
6,Malaprabha,15-APR-2014,5.0,2037.99,0,124
0,Malaprabha,16-APR-2014,4.99,2037.94,0,124
1,Malaprabha,17-APR-2014,4.98,2037.9,0,124
2,Malaprabha,18-APR-2014,4.96,2037.85,0,124
3,Malaprabha,19-APR-2014,4.95,2037.8,0,124
4,Malaprabha,20-APR-2014,4.93,2037.75,0,124
5,Malaprabha,21-APR-2014,4.91,2037.67,0,124
6,Malaprabha,22-APR-2014,4.88,2037.6,0,124
0,Malaprabha,23-APR-2014,4.86,2037.52,0,124
1,Malaprabha,24-APR-2014,4.84,2037.44,0,124
2,Malaprabha,25-APR-2014,4.81,2037.36,0,124
3,Malaprabha,26-APR-2014,4.79,2037.27,0,124
4,Malaprabha,27-APR-2014,4.76,2037.19,0,124
5,Malaprabha,28-APR-2014,4.74,2037.1,0,124
6,Malaprabha,29-APR-2014,4.71,2037.02,0,124
0,Malaprabha,30-APR-2014,4.69,2036.94,0,124
1,Malaprabha,01-MAY-2014,4.66,2036.85,0,124
2,Malaprabha,02-MAY-2014,4.25,2036.77,0,124
3,Malaprabha,03-MAY-2014,4.62,2036.69,0,124
4,Malaprabha,04-MAY-2014,4.59,2036.6,0,124
5,Malaprabha,05-MAY-2014,4.57,2036.52,0,124
6,Malaprabha,06-MAY-2014,4.54,2036.42,0,124
0,Malaprabha,07-MAY-2014,4.51,2036.32,0,124
1,Malaprabha,08-MAY-2014,4.48,2036.22,0,124
2,Malaprabha,09-MAY-2014,4.46,2036.14,0,124
3,Malaprabha,10-MAY-2014,4.43,2036.06,0,124
4,Malaprabha,11-MAY-2014,4.42,2036.0,0,124
5,Malaprabha,12-MAY-2014,4.4,2035.94,0,124
6,Malaprabha,13-MAY-2014,4.38,2035.86,0,124
0,Malaprabha,14-MAY-2014,4.36,2035.8,0,124
1,Malaprabha,15-MAY-2014,4.35,2035.74,0,124
2,Malaprabha,16-MAY-2014,4.29,2035.68,0,124
3,Malaprabha,17-MAY-2014,4.28,2035.62,0,124
