,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Supa,01-JAN-2014,118.77,1828.6,0,3420.9271799999997
1,Supa,02-JAN-2014,118.5,1828.37,252,3392.3394
2,Supa,03-JAN-2014,118.11,1828.04,269,1164.80736
3,Supa,04-JAN-2014,118.11,1828.04,269,1164.80736
4,Supa,05-JAN-2014,118.11,1828.04,0,0.0
5,Supa,06-JAN-2014,117.92,1827.88,0,2216.88396
6,Supa,07-JAN-2014,117.53,1827.55,132,4605.410339999999
0,Supa,01-JAN-2014,118.77,1828.6,0,3420.9271799999997
1,Supa,02-JAN-2014,118.5,1828.37,252,3392.3394
2,Supa,03-JAN-2014,118.11,1828.04,269,1164.80736
3,Supa,04-JAN-2014,118.11,1828.04,269,1164.80736
4,Supa,05-JAN-2014,118.11,1828.04,0,0.0
5,Supa,06-JAN-2014,117.92,1827.88,0,2216.88396
6,Supa,07-JAN-2014,117.53,1827.55,132,4605.410339999999
0,Supa,08-JAN-2014,117.18,1827.26,0,4001.24754
1,Supa,09-JAN-2014,116.75,1826.89,0,4622.53986
2,Supa,10-JAN-2014,116.49,1826.66,482,3596.0
3,Supa,11-JAN-2014,116.07,1826.3,0,4618.0
4,Supa,12-JAN-2014,115.72,1826.01,155,4152.0
5,Supa,13-JAN-2014,115.3,1825.71,0,4638.8592
6,Supa,14-JAN-2014,115.3,1825.71,0,4638.8592
0,Supa,16-JAN-2014,114.12,1824.63,0,4590.71136
1,Supa,17-JAN-2014,113.73,1824.3,252,4660.96554
2,Supa,18-JAN-2014,113.31,1823.94,0,4606.22052
3,Supa,19-JAN-2014,112.93,1823.61,0,4618.0
4,Supa,20-JAN-2014,112.59,1823.32,0,3874.6279799999998
5,Supa,21-JAN-2014,112.33,1823.09,69,3139.33176
0,Supa,22-JAN-2014,112.03,1822.83,0,3441.41316
1,Supa,23-JAN-2014,111.73,1822.56,36,3533.77368
2,Supa,24-JAN-2014,111.39,1822.27,0,3784.698
3,Supa,25-JAN-2014,111.05,1821.97,0,3779.4897
4,Supa,26-JAN-2014,110.67,1821.65,290,4643.0
5,Supa,27-JAN-2014,110.37,1821.38,0,3443.0335200000004
6,Supa,28-JAN-2014,109.99,1821.06,37,4381.45344
0,Supa,29-JAN-2014,109.84,1820.92,284,2017.00098
1,Supa,30-JAN-2014,109.84,1820.92,0,2345.0
2,Supa,31-JAN-2014,109.5,1820.63,0,1446.86574
3,Supa,01-FEB-2014,109.32,1820.47,0,2350.0
4,Supa,02-FEB-2014,108.94,1820.14,0,3735.0
5,Supa,03-FEB-2014,108.54,1819.78,22,4598.0
6,Supa,04-FEB-2014,108.13,1819.42,0,4733.0
0,Supa,05-FEB-2014,107.72,1819.06,8,4733.0
1,Supa,06-FEB-2014,107.54,1818.89,33,4749.27516
2,Supa,07-FEB-2014,106.87,1818.3,0,4683.88206
3,Supa,08-FEB-2014,106.43,1817.91,0,4765.5945
4,Supa,09-FEB-2014,106.06,1817.58,511,4782.0
5,Supa,10-FEB-2014,105.69,1817.25,527,4765.0
6,Supa,11-FEB-2014,105.21,1816.82,0,4745.0
0,Supa,12-FEB-2014,104.78,1816.43,0,4757.3769600000005
1,Supa,13-FEB-2014,104.34,1816.04,0,4798.0
2,Supa,14-FEB-2014,103.94,1815.68,172,4798.0
3,Supa,15-FEB-2014,103.34,1815.18,0,6028.0
4,Supa,16-FEB-2014,102.82,1814.66,0,6821.0
5,Supa,17-FEB-2014,102.02,1813.94,0,7700.0
6,Supa,18-FEB-2014,101.2,1813.18,0,8869.0
0,Supa,19-FEB-2014,100.39,1812.43,0,8721.0
1,Supa,20-FEB-2014,99.6,1811.71,0,8905.0
2,Supa,21-FEB-2014,98.82,1810.99,0,4888.16316
3,Supa,22-FEB-2014,98.19,1810.4,0,6919.0
4,Supa,23-FEB-2014,97.67,1809.9,0,5636.0
5,Supa,24-FEB-2014,97.18,1809.44,0,4802.399820000001
6,Supa,25-FEB-2014,96.73,1809.02,0,4978.09314
0,Supa,26-FEB-2014,96.28,1808.59,0,4978.0
1,Supa,27-FEB-2014,95.82,1808.17,0,4984.0
2,Supa,28-FEB-2014,95.41,1807.77,0,4778.0
3,Supa,01-MAR-2014,94.96,1807.35,0,5015.0
4,Supa,02-MAR-2014,94.51,1806.92,0,5023.0
5,Supa,03-MAR-2014,94.07,1806.49,0,5427.74304
6,Supa,04-MAR-2014,93.7,1806.13,0,4303.7919
0,Supa,05-MAR-2014,93.33,1805.77,0,4381.45344
1,Supa,06-MAR-2014,93.02,1805.48,0,3355.07112
2,Supa,07-MAR-2014,92.65,1805.12,0,4262.819939999999
3,Supa,08-MAR-2014,92.28,1804.75,0,4259.0
4,Supa,09-MAR-2014,91.9,1804.39,0,4259.0
5,Supa,10-MAR-2014,91.53,1804.03,0,4140.0
6,Supa,11-MAR-2014,91.13,1803.64,0,4275.0
0,Supa,12-MAR-2014,90.84,1803.34,88,3557.0
1,Supa,13-MAR-2014,90.5,1803.02,507,4353.0
2,Supa,14-MAR-2014,90.01,1802.52,0,4606.0
3,Supa,15-MAR-2014,89.58,1802.1,0,3150.79002
4,Supa,16-MAR-2014,88.93,1801.44,0,4381.0
5,Supa,17-MAR-2014,88.29,1800.82,0,4364.0
6,Supa,18-MAR-2014,87.87,1800.39,0,4357.0
0,Supa,19-MAR-2014,87.42,1799.93,0,4365.01836
1,Supa,20-MAR-2014,86.89,1799.41,0,3890.94732
2,Supa,21-MAR-2014,86.31,1798.82,0,4450.89744
3,Supa,22-MAR-2014,85.68,1798.16,0,4442.6799
4,Supa,23-MAR-2014,84.98,1797.44,360,4451.0
5,Supa,24-MAR-2014,84.34,1796.78,134,3911.4333
6,Supa,25-MAR-2014,83.68,1796.1,0,4238.3988
0,Supa,26-MAR-2014,83.02,1795.41,121,4189.32504
1,Supa,27-MAR-2014,82.34,1794.68,0,4241.98674
2,Supa,28-MAR-2014,81.77,1794.09,0,4499.9712
3,Supa,29-MAR-2014,81.32,1793.6,0,3640.3702200000002
4,Supa,30-MAR-2014,80.85,1793.11,0,2518.0
5,Supa,31-MAR-2014,48.34,1752.77,0,4205.0
6,Supa,01-APR-2014,79.52,1791.7,0,4311.8937
0,Supa,02-APR-2014,78.83,1790.95,0,4630.7574
1,Supa,03-APR-2014,78.08,1790.13,0,4835.0385
2,Supa,04-APR-2014,77.34,1789.31,0,4855.0
3,Supa,05-APR-2014,76.6,1788.49,0,4900.0
4,Supa,06-APR-2014,75.85,1787.67,0,4884.0
5,Supa,07-APR-2014,75.11,1786.81,0,4893.0
6,Supa,08-APR-2014,74.35,1785.96,0,4546.0
0,Supa,09-APR-2014,,,,
1,Supa,10-APR-2014,72.93,1784.35,0.0,4442.0
2,Supa,11-APR-2014,72.25,1783.57,0.0,4957.0
3,Supa,12-APR-2014,71.04,1782.12,0.0,5011.0
4,Supa,13-APR-2014,70.79,1781.83,0.0,5190.0
5,Supa,14-APR-2014,70.51,1781.5,0.0,3445.0
6,Supa,15-APR-2014,70.06,1780.97,0.0,4880.0
0,Supa,16-APR-2014,69.53,1780.32,0,6441
1,Supa,17-APR-2014,68.88,1779.56,0,7148
2,Supa,18-APR-2014,68.23,1778.78,0,7626
3,Supa,19-APR-2014,67.65,1778.06,0,6768
4,Supa,20-APR-2014,67.12,1777.4,0,6519
5,Supa,21-APR-2014,66.5,1776.64,130,7201
6,Supa,22-APR-2014,65.75,1775.73,0,8390
0,Supa,23-APR-2014,65.03,1774.81,0.0,8570.0
1,Supa,24-APR-2014,64.25,1773.82,0.0,8991.0
2,Supa,25-APR-2014,63.6,1773.0,0.0,7365.0
3,Supa,26-APR-2014,63.0,1772.25,0.0,6747.0
4,Supa,27-APR-2014,62.35,1771.4,0.0,7524.0
5,Supa,28-APR-2014,61.65,1770.51,23.0,8198.0
6,Supa,29-APR-2014,,,,
0,Supa,30-APR-2014,60.13,1768.54,170.0,8366.0
1,Supa,01-MAY-2014,59.46,1767.66,0.0,7731.0
2,Supa,02-MAY-2014,58.86,1766.9,7340.0,6702.0
3,Supa,03-MAY-2014,,,,
4,Supa,04-MAY-2014,57.7,1765.36,0.0,6993.0
5,Supa,05-MAY-2014,57.08,1764.54,61.0,7254.0
6,Supa,06-MAY-2014,56.56,1763.85,0.0,5781.0
0,Supa,07-MAY-2014,55.99,1763.1,1361.0,7941.0
1,Supa,08-MAY-2014,55.37,1762.28,1794.0,8565.0
2,Supa,09-MAY-2014,55.17,1762.02,1998.0,4606.0
3,Supa,10-MAY-2014,54.93,1761.69,294.0,3143.0
4,Supa,11-MAY-2014,,,,
5,Supa,12-MAY-2014,53.96,1760.41,0.0,6192.0
6,Supa,13-MAY-2014,53.3,1759.52,0.0,7716.0
0,Supa,14-MAY-2014,52.61,1758.57,0,8186.0
1,Supa,15-MAY-2014,51.9,1757.62,0,8198.0
2,Supa,16-MAY-2014,51.18,1756.67,0,8170.0
3,Supa,17-MAY-2014,50.5,1755.72,0,8194.0
4,Supa,18-MAY-2014,49.91,1754.93,0,6753.0
5,Supa,19-MAY-2014,49.7,1754.64,552,3049.0
