,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Tungabhadra,01-JAN-2014,59.09,1620.32,0,6620
1,Tungabhadra,02-JAN-2014,58.11,1619.96,0,7418
2,Tungabhadra,03-JAN-2014,56.06,1619.19,0,8905
3,Tungabhadra,04-JAN-2014,56.06,1619.19,0,8905
4,Tungabhadra,05-JAN-2014,55.14,1618.84,0,7751
5,Tungabhadra,06-JAN-2014,54.21,1618.48,0,7680
6,Tungabhadra,07-JAN-2014,53.26,1618.11,0,7680
0,Tungabhadra,01-JAN-2014,59.09,1620.32,0,6620
1,Tungabhadra,02-JAN-2014,58.11,1619.96,0,7418
2,Tungabhadra,03-JAN-2014,56.06,1619.19,0,8905
3,Tungabhadra,04-JAN-2014,56.06,1619.19,0,8905
4,Tungabhadra,05-JAN-2014,55.14,1618.84,0,7751
5,Tungabhadra,06-JAN-2014,54.21,1618.48,0,7680
6,Tungabhadra,07-JAN-2014,53.26,1618.11,0,7680
0,Tungabhadra,08-JAN-2014,52.33,1617.74,0,7680
1,Tungabhadra,09-JAN-2014,51.38,1617.36,0,7680
2,Tungabhadra,10-JAN-2014,50.44,1616.98,0,7680
3,Tungabhadra,11-JAN-2014,49.47,1616.58,0,7680
4,Tungabhadra,12-JAN-2014,48.58,1616.21,0,6749
5,Tungabhadra,13-JAN-2014,47.68,1615.83,0,6689
6,Tungabhadra,14-JAN-2014,46.79,1615.45,0,6749
0,Tungabhadra,15-JAN-2014,45.95,1615.09,0,6341
1,Tungabhadra,16-JAN-2014,45.29,1614.8,0,4824
2,Tungabhadra,17-JAN-2014,44.64,1614.51,0,4644
3,Tungabhadra,18-JAN-2014,43.98,1614.22,0,4504
4,Tungabhadra,19-JAN-2014,43.34,1613.93,0,4504
5,Tungabhadra,20-JAN-2014,42.68,1613.63,0,4504
6,Tungabhadra,21-JAN-2014,42.03,1613.33,0,4892
0,Tungabhadra,22-JAN-2014,41.17,1612.93,0,7070
1,Tungabhadra,23-JAN-2014,40.3,1612.52,0,7070
