,Reservoir,Flow Date,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow
0,Bhadra,01-JAN-2014,65.78,2153.33,355,205
1,Bhadra,02-JAN-2014,65.75,2153.31,192,343
2,Bhadra,03-JAN-2014,65.58,2153.16,148,1168
3,Bhadra,04-JAN-2014,65.58,2153.16,148,1168
4,Bhadra,05-JAN-2014,65.4,2153.02,272,55
5,Bhadra,06-JAN-2014,65.2,2152.85,281,2435
6,Bhadra,07-JAN-2014,64.95,2152.64,42,2787
0,Bhadra,08-JAN-2014,64.68,2152.41,62,3085
1,Bhadra,09-JAN-2014,64.4,2152.18,62,3085
2,Bhadra,10-JAN-2014,64.13,2151.95,73,3085
3,Bhadra,11-JAN-2014,63.86,2151.72,84,3085
4,Bhadra,12-JAN-2014,63.59,2151.5,95,3232
5,Bhadra,13-JAN-2014,63.32,2151.27,95,3085
6,Bhadra,14-JAN-2014,63.04,2151.04,83,3085
0,Bhadra,15-JAN-2014,62.78,2150.81,217,3085
1,Bhadra,16-JAN-2014,62.51,2150.58,129,3231
2,Bhadra,17-JAN-2014,62.24,2150.35,117,3085
3,Bhadra,18-JAN-2014,61.97,2150.12,116,3085
4,Bhadra,19-JAN-2014,61.7,2149.89,139,3085
5,Bhadra,20-JAN-2014,61.44,2149.66,150,3085
6,Bhadra,21-JAN-2014,61.17,2149.43,150,3085
0,Bhadra,22-JAN-2014,60.91,2149.2,161,3085
1,Bhadra,23-JAN-2014,60.64,2048.97,149,3085
2,Bhadra,24-JAN-2014,60.28,2148.75,184,3085
3,Bhadra,25-JAN-2014,60.11,2148.52,183,3085
4,Bhadra,26-JAN-2014,59.85,2148.29,183,3085
5,Bhadra,27-JAN-2014,59.59,2148.06,183,3085
6,Bhadra,28-JAN-2014,59.33,2147.83,206,3085
0,Bhadra,29-JAN-2014,59.07,2147.6,217,3085
1,Bhadra,30-JAN-2014,58.81,2147.37,216,3085
2,Bhadra,31-JAN-2014,58.55,2147.14,216,3085
3,Bhadra,01-FEB-2014,58.29,2146.91,216,3085
4,Bhadra,02-FEB-2014,58.03,2146.68,266,3085
5,Bhadra,03-FEB-2014,57.78,2146.43,12,3110
6,Bhadra,04-FEB-2014,57.47,2146.18,24,3110
0,Bhadra,05-FEB-2014,57.19,2145.93,196,3280
1,Bhadra,06-FEB-2014,56.91,2145.68,216,3280
2,Bhadra,07-FEB-2014,56.63,2145.44,216,3433
3,Bhadra,08-FEB-2014,56.35,2145.18,215,3280
4,Bhadra,09-FEB-2014,56.08,2144.93,226,3280
5,Bhadra,10-FEB-2014,55.78,2144.66,19,3305
6,Bhadra,11-FEB-2014,55.48,2144.39,32,3330
0,Bhadra,12-FEB-2014,55.18,2144.22,32,3330
1,Bhadra,13-FEB-2014,54.89,2143.85,41,3305
2,Bhadra,14-FEB-2014,54.5,2143.5,30,4336
3,Bhadra,15-FEB-2014,65.58,2153.16,148,1168
4,Bhadra,16-FEB-2014,53.85,2142.89,38,3280
5,Bhadra,17-FEB-2014,53.56,2142.42,72,3280
6,Bhadra,18-FEB-2014,53.27,2142.35,21,3230
0,Bhadra,21-FEB-2014,52.4,2141.54,66,3230
1,Bhadra,22-FEB-2014,52.12,2141.27,54,3230
2,Bhadra,23-FEB-2014,51.83,2141.0,53,3230
3,Bhadra,24-FEB-2014,51.55,2140.72,99,3230
4,Bhadra,25-FEB-2014,51.26,2140.45,99,3230
5,Bhadra,19-FEB-2014,52.98,2142.08,19,3240
6,Bhadra,20-FEB-2014,52.69,2141.81,43,3230
0,Bhadra,26-FEB-2014,50.98,2140.18,98,3230
1,Bhadra,27-FEB-2014,50.7,2139.91,59,3323
2,Bhadra,28-FEB-2014,50.42,2139.64,93,3180
3,Bhadra,01-MAR-2014,50.05,2139.29,28,4122
4,Bhadra,02-MAR-2014,49.31,2138.56,90,8565
5,Bhadra,03-MAR-2014,48.19,2137.45,34,12805
6,Bhadra,04-MAR-2014,47.4,2139.66,22,9177
0,Bhadra,05-MAR-2014,46.56,2135.81,36,9651
1,Bhadra,06-MAR-2014,45.8,2135.04,46,8762
2,Bhadra,07-MAR-2014,45.16,2134.37,51,7343
3,Bhadra,08-MAR-2014,44.64,2133.83,72,5930
4,Bhadra,09-MAR-2014,44.19,2133.35,50,5180
5,Bhadra,10-MAR-2014,43.71,2132.85,14,5330
6,Bhadra,11-MAR-2014,43.38,2132.5,50,3747
0,Bhadra,12-MAR-2014,43.11,2132.2,70,3085
1,Bhadra,13-MAR-2014,42.84,2131.91,81,3085
2,Bhadra,14-MAR-2014,42.57,2131.62,115,3085
3,Bhadra,15-MAR-2014,42.3,2131.33,115,3085
4,Bhadra,16-MAR-2014,42.03,2131.04,102,3085
5,Bhadra,17-MAR-2014,41.74,2130.72,15,3302
6,Bhadra,18-MAR-2014,41.46,2130.41,14,3085
0,Bhadra,19-MAR-2014,41.18,2130.1,13,3160
1,Bhadra,20-MAR-2014,40.88,2129.77,28,3360
2,Bhadra,21-MAR-2014,40.58,2129.43,38,3499
3,Bhadra,22-MAR-2014,40.28,2129.1,38,3360
4,Bhadra,23-MAR-2014,39.98,2128.75,83,3360
5,Bhadra,24-MAR-2014,39.69,2128.43,19,3285
6,Bhadra,25-MAR-2014,39.4,2128.1,19,3285
0,Bhadra,26-MAR-2014,39.09,2127.77,39,3480
1,Bhadra,27-MAR-2014,38.78,2127.29,62,3480
2,Bhadra,28-MAR-2014,38.47,2127.04,49,3480
3,Bhadra,29-MAR-2014,38.08,2126.58,76,4480
4,Bhadra,30-MAR-2014,37.6,2126.02,57,5480
5,Bhadra,31-MAR-2014,37.23,2125.58,27,4155
6,Bhadra,01-APR-2014,36.9,2125.18,56,3780
0,Bhadra,02-APR-2014,36.55,2124.77,15,3855
1,Bhadra,03-APR-2014,36.17,2124.31,80,4280
2,Bhadra,04-APR-2014,35.79,2123.85,101,4280
3,Bhadra,05-APR-2014,35.44,2123.41,43,3980
4,Bhadra,06-APR-2014,35.1,2123.0,27,3780
5,Bhadra,07-APR-2014,34.8,2122.62,78,3380
6,Bhadra,08-APR-2014,34.5,2122.25,77,3380
0,Bhadra,09-APR-2014,34.2,2121.87,86,3380
1,Bhadra,10-APR-2014,33.9,2121.5,119,3380
2,Bhadra,11-APR-2014,33.6,2121.12,117,3380
3,Bhadra,12-APR-2014,33.31,2120.75,151,3380
4,Bhadra,13-APR-2014,33.02,2120.38,162,3553
5,Bhadra,14-APR-2014,32.72,2120.0,161,3280
6,Bhadra,15-APR-2014,32.42,2119.6,21,3380
0,Bhadra,16-APR-2014,32.11,2119.2,20,3380
1,Bhadra,17-APR-2014,31.81,2118.81,54,3380
2,Bhadra,18-APR-2014,31.51,2118.41,86,3380
3,Bhadra,19-APR-2014,31.21,2118.02,75,3380
4,Bhadra,20-APR-2014,30.91,2117.62,120,3380
5,Bhadra,21-APR-2014,30.62,2117.2,131,3380
6,Bhadra,22-APR-2014,30.33,2116.83,153,3380
0,Bhadra,23-APR-2014,30.02,2116.41,15,3405
1,Bhadra,24-APR-2014,29.71,2116.0,25,3405
2,Bhadra,25-APR-2014,29.41,2115.58,46,3380
3,Bhadra,26-APR-2014,29.11,2115.16,56,3380
4,Bhadra,27-APR-2014,28.81,2114.75,90,3380
5,Bhadra,28-APR-2014,28.52,2114.33,100,3380
6,Bhadra,29-APR-2014,28.22,2113.91,111,3380
0,Bhadra,30-APR-2014,27.93,2113.5,144,3380
1,Bhadra,01-MAY-2014,27.63,2113.08,155,3380
2,Bhadra,02-MAY-2014,27.35,2112.66,155,3380
3,Bhadra,03-MAY-2014,27.05,2112.22,22,3380
4,Bhadra,04-MAY-2014,26.75,2111.79,44,3505
5,Bhadra,05-MAY-2014,26.45,2111.35,67,3380
6,Bhadra,06-MAY-2014,26.15,2110.91,89,3380
0,Bhadra,07-MAY-2014,25.86,2110.47,323.0,3380
1,Bhadra,08-MAY-2014,25.86,2110.04,133.0,3380
2,Bhadra,09-MAY-2014,25.77,2110.33,5747.0,3380
3,Bhadra,10-MAY-2014,25.99,2110.66,60.971,3380
4,Bhadra,11-MAY-2014,26.21,2111.0,6072.0,3380
5,Bhadra,12-MAY-2014,26.13,2110.87,1392.0,2230
6,Bhadra,13-MAY-2014,25.95,2110.6,858.0,2830
0,Bhadra,14-MAY-2014,25.67,2110.18,296,3380
1,Bhadra,15-MAY-2014,25.39,2109.77,318,3380
2,Bhadra,16-MAY-2014,25.12,2109.35,340,3380
3,Bhadra,17-MAY-2014,24.83,2108.91,191,3380
4,Bhadra,18-MAY-2014,24.55,2108.47,246,3380
5,Bhadra,19-MAY-2014,24.27,2108.04,245,3380
6,Bhadra,20-MAY-2014,23.94,2107.6,279,3380
0,Bhadra,21-MAY-2014,23.72,2107.16,312,3380
1,Bhadra,22-MAY-2014,23.43,2106.7,184,3380
2,Bhadra,23-MAY-2014,23.28,2106.45,75,1755
3,Bhadra,24-MAY-2014,23.07,2106.12,72,2355
4,Bhadra,25-MAY-2014,22.85,2105.75,136,2535
5,Bhadra,26-MAY-2014,22.64,2105.41,158,2535
6,Bhadra,27-MAY-2014,22.42,2105.06,146,2535
0,Bhadra,28-MAY-2014,22.19,2104.66,102,2735
1,Bhadra,29-MAY-2014,22.07,2104.47,68,1255
2,Bhadra,30-MAY-2014,21.96,2104.29,67,1255
3,Bhadra,31-MAY-2014,21.88,2104.1,56,955
0,Bhadra,01-JUN-2014,21.83,2104.06,46,517
1,Bhadra,02-JUN-2014,21.84,2104.08,261,55
2,Bhadra,03-JUN-2014,21.85,2104.1,250,55
3,Bhadra,04-JUN-2014,21.86,2104.12,261,55
4,Bhadra,05-JUN-2014,21.88,2104.14,250,55
5,Bhadra,06-JUN-2014,21.89,2104.16,261,55
6,Bhadra,07-JUN-2014,21.9,2104.18,250,55
7,Bhadra,08-JUN-2014,21.91,2104.2,250,55
8,Bhadra,09-JUN-2014,21.93,2104.22,261,55
