,Full  Tank Level (ft.),Full  Capacity (mcft),Level  (ft),Level  (ft).1,Storage  (Mcft),Inflow  (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft),date
0,85.40,3645,78.02,78.02,1842.00,0,57,0.0,537.00,01/01/2018
0,85.40,3645,78.02,78.02,1842.00,0,57,0.0,537.00,01/01/2018
0,85.40,3645,78.00,78.00,1837.00,0,56,0.0,530.00,02/01/2018
0,85.40,3645,77.97,77.97,1832.00,0,56,0.0,523.00,03/01/2018
0,85.40,3645,77.95,77.95,1827.00,0,56,0.0,516.00,04/01/2018
0,85.40,3645,77.92,77.92,1822.00,0,55,0.0,509.00,05/01/2018
0,85.40,3645,77.91,77.91,1820.00,0,19,0.0,503.00,06/01/2018
0,85.40,3645,77.90,77.90,1818.00,0,19,0.0,497.00,07/01/2018
0,85.40,3645,77.89,77.89,1816.00,0,25,0.0,491.00,08/01/2018
0,85.40,3645,77.87,77.87,1814.00,0,19,0.0,485.00,09/01/2018
0,85.40,3645,77.86,77.86,1810.00,0,43,0.0,479.00,10/01/2018
0,85.40,3645,77.83,77.83,1804.00,0,74,0.0,471.00,11/01/2018
0,85.40,3645,77.80,77.80,1799.00,0,57,0.0,465.00,12/01/2018
0,85.40,3645,77.77,77.77,1793.00,0,68,0.0,459.00,13/01/2018
0,85.40,3645,77.75,77.75,1787.00,0,69,0.0,452.00,14/01/2018
0,85.40,3645,77.71,77.71,1781.00,0,68,0.0,446.00,15/01/2018
0,85.40,3645,77.68,77.68,1775.00,0,68,0.0,440.00,16/01/2018
0,85.40,3645,77.65,77.65,1769.00,0,65,0.0,434.00,17/01/2018
0,85.40,3645,77.63,77.63,1764.00,0,57,0.0,427.00,18/01/2018
0,85.40,3645,77.60,77.60,1759.00,0,57,0.0,421.00,19/01/2018
0,85.40,3645,77.57,77.57,1753.00,0,71,0.0,415.00,20/01/2018
0,85.40,3645,77.55,77.55,1748.00,0,58,0.0,408.00,21/01/2018
0,85.40,3645,77.52,77.52,1743.00,0,57,0.0,401.00,22/01/2018
