,Full  Tank Level (ft.),Full  Capacity (mcft),Level  (ft),Level  (ft).1,Storage  (Mcft),Inflow  (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft),date
0,65.50,1081,58.87,58.87,513.00,0,0,0.0,82.00,01/01/2018
0,65.50,1081,58.83,58.83,511.00,0,0,0.0,82.00,02/01/2018
0,65.50,1081,58.79,58.79,509.00,0,0,0.0,82.00,03/01/2018
0,65.50,1081,58.75,58.75,507.00,0,0,0.0,82.00,04/01/2018
0,65.50,1081,58.71,58.71,505.00,0,0,0.0,81.00,05/01/2018
0,65.50,1081,58.67,58.67,503.00,0,0,0.0,81.00,06/01/2018
0,65.50,1081,58.64,58.64,501.00,0,0,0.0,81.00,07/01/2018
0,65.50,1081,58.62,58.62,499.00,0,0,0.0,81.00,08/01/2018
0,65.50,1081,58.57,58.57,497.00,0,0,0.0,80.00,09/01/2018
0,65.50,1081,58.53,58.53,495.00,0,0,0.0,80.00,10/01/2018
0,65.50,1081,58.50,58.50,493.00,0,0,0.0,80.00,11/01/2018
0,65.50,1081,58.46,58.46,491.00,0,0,0.0,79.00,12/01/2018
0,65.50,1081,58.42,58.42,489.00,0,0,0.0,79.00,13/01/2018
0,65.50,1081,58.38,58.38,487.00,0,0,0.0,79.00,14/01/2018
0,65.50,1081,58.34,58.34,485.00,0,0,0.0,78.00,15/01/2018
0,65.50,1081,58.30,58.30,483.00,0,0,0.0,78.00,16/01/2018
0,65.50,1081,58.26,58.26,481.00,0,0,0.0,78.00,17/01/2018
0,65.50,1081,58.22,58.22,479.00,0,0,0.0,78.00,18/01/2018
0,65.50,1081,58.19,58.19,477.00,0,0,0.0,78.00,19/01/2018
0,65.50,1081,58.15,58.15,475.00,0,0,0.0,78.00,20/01/2018
0,65.50,1081,58.11,58.11,473.00,0,0,0.0,78.00,21/01/2018
0,65.50,1081,58.07,58.07,471.00,0,0,0.0,77.00,22/01/2018
0,65.50,1081,58.03,58.03,469.00,0,0,0.0,77.00,23/01/2018
