,Full  Tank Level (ft.),Full  Capacity (mcft),Level  (ft),Level  (ft).1,Storage  (Mcft),Inflow  (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft),date
0,140.00,3231,131.07,131.07,1012.00,0,26,0.0,617.00,01/01/2018
0,140.00,3231,131.07,131.07,1012.00,21,26,0.0,613.00,02/01/2018
0,140.00,3231,131.07,131.07,1012.00,72,26,0.0,609.00,03/01/2018
0,140.00,3231,131.08,131.08,1014.00,114,26,0.0,605.00,04/01/2018
0,140.00,3231,131.10,131.10,1018.00,132,26,0.0,601.00,05/01/2018
0,140.00,3231,131.13,131.13,1024.00,166,26,0.0,597.00,06/01/2018
0,140.00,3231,131.17,131.17,1032.00,252,26,0.0,593.00,07/01/2018
0,140.00,3231,131.22,131.22,1042.00,234,26,0.0,589.00,08/01/2018
0,140.00,3231,131.30,131.30,1055.00,255,26,0.0,586.00,09/01/2018
0,140.00,3231,131.40,131.40,1070.00,237,26,0.0,582.00,10/01/2018
0,140.00,3231,131.48,131.48,1084.00,188,26,0.0,578.00,11/01/2018
0,140.00,3231,131.55,131.55,1096.00,263,26,0.0,574.00,12/01/2018
0,140.00,3231,131.63,131.63,1108.00,276,26,0.0,570.00,13/01/2018
0,140.00,3231,131.72,131.72,1124.00,295,26,0.0,566.00,14/01/2018
0,140.00,3231,131.82,131.82,1140.00,315,26,0.0,563.00,15/01/2018
0,140.00,3231,131.92,131.92,1152.00,319,26,0.0,560.00,16/01/2018
0,140.00,3231,132.00,132.00,1161.00,307,28,0.0,556.00,17/01/2018
0,140.00,3231,132.08,132.08,1172.00,311,28,0.0,553.00,18/01/2018
0,140.00,3231,132.14,132.14,1180.00,309,28,0.0,550.00,19/01/2018
0,140.00,3231,132.22,132.22,1191.00,293,28,0.0,546.00,20/01/2018
0,140.00,3231,132.32,132.32,1204.00,283,34,0.0,546.00,21/01/2018
0,140.00,3231,132.42,132.42,1215.00,285,34,0.0,551.00,22/01/2018
