,Full  Tank Level (ft.),Full  Capacity (mcft),Level  (ft),Level  (ft).1,Storage  (Mcft),Inflow  (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft),date
0,50.20,3300,41.21,41.21,1585.00,0,84,0.0,450.00,01/01/2018
0,50.20,3300,41.15,41.15,1578.00,0,84,0.0,441.00,02/01/2018
0,50.20,3300,41.11,41.11,1571.00,0,84,0.0,432.00,03/01/2018
0,50.20,3300,41.06,41.06,1564.00,0,84,0.0,423.00,04/01/2018
0,50.20,3300,41.01,41.01,1557.00,0,84,0.0,415.00,05/01/2018
0,50.20,3300,40.97,40.97,1550.00,0,84,0.0,407.00,06/01/2018
0,50.20,3300,40.92,40.92,1543.00,0,84,0.0,399.00,07/01/2018
0,50.20,3300,40.88,40.88,1536.00,0,84,0.0,393.00,08/01/2018
0,50.20,3300,40.83,40.83,1529.00,0,84,0.0,387.00,09/01/2018
0,50.20,3300,40.79,40.79,1522.00,0,84,0.0,381.00,10/01/2018
0,50.20,3300,40.74,40.74,1515.00,0,84,0.0,375.00,11/01/2018
0,50.20,3300,40.69,40.69,1508.00,0,84,0.0,369.00,12/01/2018
0,50.20,3300,40.65,40.65,1501.00,0,84,0.0,363.00,13/01/2018
0,50.20,3300,40.60,40.60,1494.00,0,84,0.0,357.00,14/01/2018
0,50.20,3300,40.56,40.56,1487.00,0,84,0.0,351.00,15/01/2018
0,50.20,3300,40.51,40.51,1480.00,0,84,0.0,345.00,16/01/2018
0,50.20,3300,40.46,40.46,1473.00,0,84,0.0,339.00,17/01/2018
0,50.20,3300,40.42,40.42,1466.00,0,84,0.0,333.00,18/01/2018
0,50.20,3300,40.37,40.37,1459.00,0,84,0.0,327.00,19/01/2018
0,50.20,3300,40.32,40.32,1452.00,0,84,0.0,321.00,20/01/2018
0,50.20,3300,40.27,40.27,1445.00,0,84,0.0,315.00,21/01/2018
0,50.20,3300,40.23,40.23,1438.00,0,84,0.0,311.00,22/01/2018
0,50.20,3300,40.18,40.18,1431.00,0,84,0.0,306.00,23/01/2018
0,50.20,3300,40.13,40.13,1424.00,0,84,0.0,302.00,24/01/2018
0,50.20,3300,40.09,40.09,1417.00,0,84,0.0,297.00,25/01/2018
0,50.20,3300,40.04,40.04,1410.00,0,84,0.0,293.00,26/01/2018
0,50.20,3300,39.99,39.99,1403.00,0,84,0.0,289.00,27/01/2018
0,50.20,3300,39.94,39.94,1396.00,0,84,0.0,286.00,28/01/2018
0,50.20,3300,39.89,39.89,1389.00,0,84,0.0,282.00,29/01/2018
0,50.20,3300,39.85,39.85,1382.00,0,84,0.0,289.00,30/01/2018
0,50.20,3300,39.80,39.80,1375.00,0,84,0.0,297.00,31/01/2018
0,50.20,3300,39.75,39.75,1368.00,0,84,0.0,305.00,01/02/2018
0,50.20,3300,39.70,39.70,1361.00,0,84,0.0,313.00,02/02/2018
0,50.20,3300,39.65,39.65,1354.00,0,84,0.0,321.00,03/02/2018
0,50.20,3300,39.61,39.61,1347.00,0,84,0.0,332.00,04/02/2018
0,50.20,3300,39.56,39.56,1340.00,0,84,0.0,342.00,05/02/2018
